Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2024/25102 ;05.04.2024 10:38;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec - MMP ;0;Plzeò, Pod Švabinami 44 
2024/25752 ;07.04.2024 14:24;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec - MMP, Provedena lustrace vozidla ;0;Plzeò, Lazaretní 27 
2024/30023 ;26.04.2024 10:48;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec - MMP ;0;Plzeò, Mandlova 11 
2024/33195 ;09.05.2024 15:17;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec - ostatní ;0;Plzeò, Strážnická 15 
2024/34575 ;14.05.2024 19:18;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla, Pøedáno - Mìsto / Obec - SVSMP ;0;Plzeò, Lochotínská 30 
2024/34618 ;14.05.2024 19:53;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec - MMP ;0;Plzeò, Hodonínská 57 
2024/40101 ;06.06.2024 8:33;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec - MMP ;0;Plzeò, Školní 11 
2024/41698 ;13.06.2024 12:51;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec - MMP, Provedena lustrace vozidla ;0;Plzeò, Na Lukách 57 
2024/41923 ;14.06.2024 11:08;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec - MMP, Provedena lustrace vozidla ;0;Plzeò, Diamantová 18 
2024/42260 ;15.06.2024 19:02;PØ ;Zákon è. 30/2024 Sb., o pojištìní odpovìdnosti z provozu vozidla - §86/1 ; Pøedáno - Mìsto / Obec - MMP, Provedena lustrace vozidla ;0;Plzeò, Nákupní 5 
